FIPS,County,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude
8001,Adams,Brighton,"441,603","3,024.21","1,167.65",42.07,16.243,"3,066.28","1,183.90",39.874325,-104.331872
8003,Alamosa,Alamosa,"15,445","1,871.64",722.643,1.808,0.698,"1,873.45",723.341,37.568442,-105.788041
8005,Arapahoe,Littleton,"572,003","2,067.07",798.1,19.004,7.337,"2,086.07",805.437,39.644632,-104.331733
8007,Archuleta,Pagosa Springs,"12,084","3,496.94","1,350.18",13.828,5.339,"3,510.77","1,355.51",37.202395,-107.050863
8009,Baca,Springfield,"3,788","6,617.33","2,554.97",6.142,2.372,"6,623.48","2,557.34",37.303144,-102.535457
8011,Bent,Las Animas,"6,499","3,918.29","1,512.86",73.094,28.222,"3,991.39","1,541.08",37.931891,-103.077584
8013,Boulder,Boulder,"294,567","1,881.08",726.289,36.469,14.081,"1,917.55",740.37,40.094826,-105.398382
8014,Broomfield,Broomfield,"55,889",85.558,33.034,1.466,0.566,87.024,33.6,39.953383,-105.052125
8015,Chaffee,Salida,"17,809","2,624.70","1,013.40",4.013,1.55,"2,628.72","1,014.95",38.738246,-106.316972
8017,Cheyenne,Cheyenne Wells,"1,836","4,605.71","1,778.28",8.166,3.153,"4,613.88","1,781.43",38.835387,-102.604585
8019,Clear Creek,Georgetown,"9,088","1,023.63",395.227,3.28,1.266,"1,026.91",396.493,39.689403,-105.670791
8021,Conejos,Conejos,"8,256","3,334.33","1,287.39",9.235,3.566,"3,343.56","1,290.96",37.213407,-106.176447
8023,Costilla,San Luis,"3,524","3,177.79","1,226.95",8.829,3.409,"3,186.62","1,230.36",37.277547,-105.42894
8025,Crowley,Ordway,"5,823","2,039.41",787.421,33.43,12.908,"2,072.84",800.329,38.321956,-103.787562
8027,Custer,Westcliffe,"4,255","1,913.03",738.625,3.365,1.299,"1,916.40",739.924,38.101994,-105.373515
8029,Delta,Delta,"30,952","2,957.90","1,142.05",16.961,6.549,"2,974.86","1,148.60",38.861756,-107.864757
8031,Denver,Denver,"600,158",396.269,153,4.225,1.631,400.494,154.631,39.761849,-104.880625
8033,Dolores,Dove Creek,"2,064","2,763.65","1,067.05",2.716,1.049,"2,766.37","1,068.10",37.747602,-108.530383
8035,Douglas,Castle Rock,"285,465","2,176.23",840.248,6.789,2.621,"2,183.02",842.869,39.326435,-104.926199
8037,Eagle,Eagle,"52,197","4,362.91","1,684.53",18.806,7.261,"4,381.72","1,691.79",39.630638,-106.692944
8039,Elbert,Colorado Springs,"23,086","4,793.67","1,850.85",0.442,0.171,"4,794.11","1,851.02",39.310817,-104.117928
8041,El Paso,Kiowa,"622,263","5,508.39","2,126.80",7.112,2.746,"5,515.50","2,129.55",38.827383,-104.527472
8043,Fremont,Cañon City,"46,824","3,970.63","1,533.07",2.235,0.863,"3,972.86","1,533.93",38.455658,-105.421438
8045,Garfield,Glenwood Springs,"56,389","7,634.15","2,947.56",21.431,8.274,"7,655.58","2,955.84",39.599352,-107.90978
8047,Gilpin,Central City,"5,441",388.229,149.896,0.942,0.364,389.171,150.26,39.861082,-105.528947
8049,Grand,Hot Sulphur Springs,"14,843","4,781.97","1,846.33",60.25,23.263,"4,842.22","1,869.59",40.123289,-106.095876
8051,Gunnison,Gunnison,"15,324","8,389.23","3,239.10",53.172,20.53,"8,442.40","3,259.63",38.669679,-107.078108
8053,Hinsdale,Lake City,843,"2,893.67","1,117.25",15.325,5.917,"2,908.99","1,123.17",37.811625,-107.383405
8055,Huerfano,Walsenburg,"6,711","4,120.67","1,591.00",5.792,2.236,"4,126.47","1,593.24",37.687815,-104.959928
8057,Jackson,Walden,"1,394","4,179.52","1,613.72",18.75,7.239,"4,198.27","1,620.96",40.663432,-106.329248
8059,Jefferson,Golden,"534,543","1,979.29",764.208,25.446,9.825,"2,004.74",774.033,39.58646,-105.245601
8061,Kiowa,Eads,"1,398","4,578.50","1,767.77",47.033,18.16,"4,625.53","1,785.93",38.388466,-102.75621
8063,Kit Carson,Burlington,"8,270","5,596.50","2,160.82",2.252,0.869,"5,598.75","2,161.69",39.30534,-102.603023
8065,Lake,Durango,"7,310",976.194,376.911,18.124,6.998,994.319,383.909,39.204316,-106.349696
8067,La Plata,Leadville,"51,334","4,382.46","1,692.08",19.76,7.629,"4,402.22","1,699.71",37.287367,-107.839718
8069,Larimer,Fort Collins,"299,630","6,723.61","2,596.00",98.295,37.952,"6,821.91","2,633.95",40.663091,-105.482131
8071,Las Animas,Trinidad,"15,507","12,361.16","4,772.67",6.93,2.676,"12,368.09","4,775.35",37.318831,-104.04411
8073,Lincoln,Hugo,"5,467","6,676.02","2,577.63",22.781,8.796,"6,698.80","2,586.42",38.99374,-103.507555
8075,Logan,Sterling,"22,709","4,761.81","1,838.55",16.364,6.318,"4,778.18","1,844.87",40.728091,-103.090464
8077,Mesa,Grand Junction,"146,723","8,622.00","3,328.97",31.467,12.149,"8,653.47","3,341.12",39.019492,-108.461837
8079,Mineral,Creede,712,"2,267.97",875.666,5.222,2.016,"2,273.19",877.682,37.651478,-106.9323
8081,Moffat,Craig,"13,795","12,285.07","4,743.29",19.742,7.622,"12,304.81","4,750.91",40.573984,-108.204521
8083,Montezuma,Cortez,"25,535","5,256.45","2,029.53",27.517,10.624,"5,283.97","2,040.15",37.338025,-108.595786
8085,Montrose,Montrose,"41,276","5,803.37","2,240.70",4.923,1.901,"5,808.30","2,242.60",38.413427,-108.263042
8087,Morgan,Fort Morgan,"28,159","3,316.31","1,280.43",34.474,13.31,"3,350.78","1,293.74",40.262354,-103.807092
8089,Otero,La Junta,"18,831","3,268.47","1,261.96",20.052,7.742,"3,288.52","1,269.70",37.88417,-103.72126
8091,Ouray,Ouray,"4,436","1,402.72",541.593,1.6,0.618,"1,404.32",542.211,38.1506,-107.767133
8093,Park,Fairplay,"16,206","5,682.03","2,193.85",43.531,16.807,"5,725.57","2,210.65",39.118914,-105.717648
8095,Phillips,Holyoke,"4,442","1,781.73",687.928,0.302,0.117,"1,782.03",688.045,40.594712,-102.345105
8097,Pitkin,Aspen,"17,148","2,514.09",970.697,6.469,2.498,"2,520.56",973.195,39.217533,-106.915943
8099,Prowers,Lamar,"12,551","4,243.42","1,638.40",15.353,5.928,"4,258.78","1,644.32",37.958181,-102.392161
8101,Pueblo,Pueblo,"159,063","6,179.98","2,386.10",30.28,11.691,"6,210.26","2,397.80",38.170658,-104.489893
8103,Rio Blanco,Meeker,"6,666","8,342.18","3,220.93",4.868,1.88,"8,347.05","3,222.81",39.972606,-108.200685
8105,Rio Grande,Del Norte,"11,982","2,361.96",911.958,0.984,0.38,"2,362.94",912.338,37.485763,-106.453214
8107,Routt,Steamboat Springs,"23,509","6,117.62","2,362.03",15.826,6.11,"6,133.45","2,368.14",40.48316,-106.985289
8109,Saguache,Saguache,"6,108","8,206.44","3,168.53",4.455,1.72,"8,210.90","3,170.25",38.033952,-106.246675
8111,San Juan,Silverton,699,"1,003.59",387.488,2.036,0.786,"1,005.62",388.274,37.781075,-107.670257
8113,San Miguel,Telluride,"7,359","3,332.31","1,286.61",5.214,2.013,"3,337.52","1,288.62",38.009374,-108.427326
8115,Sedgwick,Julesburg,"2,379","1,419.42",548.041,3.531,1.363,"1,422.95",549.404,40.871568,-102.355358
8117,Summit,Breckenridge,"27,994","1,575.64",608.358,28.283,10.92,"1,603.92",619.278,39.621023,-106.137555
8119,Teller,Cripple Creek,"23,350","1,442.77",557.055,4.945,1.909,"1,447.71",558.964,38.871994,-105.182552
8121,Washington,Akron,"4,814","6,521.67","2,518.03",15.207,5.872,"6,536.88","2,523.90",39.965413,-103.209605
8123,Weld,Greeley,"252,825","10,326.90","3,987.24",76.554,29.558,"10,403.45","4,016.80",40.555794,-104.383649
8125,Yuma,Wray,"10,043","6,123.78","2,364.41",11.135,4.299,"6,134.92","2,368.70",40.000631,-102.422649
