County,Total_Generation,,
Adams,266428,15,17761.87
Alamosa,285673,8,35709.13
Arapahoe,131131,7,18733
Baca,9997,1,9997
Boulder,18616,3,6205.33
Broomfield,3551,1,3551
Chaffee,7835,2,3917.5
Conejos,7507,2,3753.5
Crowley,70,1,70
Denver,21435,8,2679.38
El Paso,279101,6,46516.83
Fremont,3932,1,3932
Garfield,6635,3,2211.67
Grand,2237,1,2237
Jackson,2242,1,2242
Larimer,108303,4,27075.75
Las Animas,75626,1,75626
Logan,10559,3,3519.67
Mesa,14144,4,3536
Morgan,3487,1,3487
Pitkin,994.95,1,994.95
Pueblo,850148,5,170029.6
Rio Blanco,9190,1,9190
Saguache,6642,1,6642
Weld,169159,19,8903.11